classe_verdadeira,classe_predita,confianca
consultar_funcionamento,consultar_funcionamento,0.46732
consultar_funcionamento,consultar_funcionamento,0.80932
consultar_funcionamento,consultar_funcionamento,0.54921
consultar_funcionamento,consultar_funcionamento,0.88043
consultar_preco,consultar_preco,0.89991
consultar_preco,consultar_preco,0.79905
consultar_preco,consultar_preco,0.90878
consultar_preco,consultar_preco,0.78144
consultar_preco,consultar_preco,0.79929
consultar_preco,consultar_preco,0.80862
consultar_preco,consultar_preco,0.71554
consultar_preco,consultar_preco,0.74543
consultar_preco,consultar_preco,0.66357
consultar_preco,consultar_preco,0.9176
fazer_pedido,fazer_pedido,0.6446
fazer_pedido,fazer_pedido,0.93164
fazer_pedido,fazer_pedido,0.77079
fazer_pedido,fazer_pedido,0.400003
fazer_pedido,fazer_pedido,0.75143
fazer_pedido,fazer_pedido,0.6435
fazer_pedido,fazer_pedido,0.55648
fazer_pedido,fazer_pedido,0.80697
fazer_pedido,fazer_pedido,0.6363
fazer_pedido,fazer_pedido,0.69582
geral_agradecimento,geral_agradecimento,0.99214
geral_agradecimento,geral_agradecimento,0.88686
geral_agradecimento,geral_agradecimento,0.92248
geral_agradecimento,geral_agradecimento,0.85952
geral_agradecimento,geral_agradecimento,0.92044
geral_agradecimento,geral_agradecimento,0.66928
geral_agradecimento,geral_agradecimento,0.98613
geral_agradecimento,geral_agradecimento,0.94477
geral_agradecimento,geral_agradecimento,0.80966
geral_agradecimento,geral_agradecimento,0.92105
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.90948
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.94741
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.89741
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.92309
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.50824
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.86682
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.96948
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.98436
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.95003
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.99623
geral_despedida,geral_despedida,0.9983
geral_despedida,geral_despedida,0.94296
geral_despedida,geral_despedida,0.93067
geral_despedida,geral_despedida,0.89344
geral_despedida,geral_despedida,0.90618
geral_despedida,geral_despedida,0.91208
geral_despedida,geral_despedida,0.60648
geral_despedida,geral_despedida,0.85488
geral_despedida,geral_despedida,0.88738
geral_despedida,geral_despedida,0.99364
geral_elogiar,geral_elogiar,0.99096
geral_elogiar,geral_elogiar,0.97376
geral_elogiar,geral_elogiar,0.86467
geral_elogiar,geral_elogiar,0.96641
geral_elogiar,geral_elogiar,0.90088
geral_elogiar,geral_elogiar,0.65404
geral_elogiar,geral_elogiar,0.9894
geral_elogiar,geral_elogiar,0.83243
geral_elogiar,geral_elogiar,0.84322
geral_elogiar,geral_elogiar,0.65084
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.99535
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.97284
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.80423
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.92855
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.93254
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.87119
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.95447
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.86584
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.94475
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.97309
geral_reclamar_atendimento,geral_reclamar_atendimento,0.8387
geral_reclamar_atendimento,geral_reclamar_atendimento,0.98006
geral_reclamar_atendimento,geral_reclamar_atendimento,0.48314
geral_reclamar_atendimento,geral_reclamar_atendimento,0.54019
geral_reclamar_atendimento,geral_reclamar_atendimento,0.9981
geral_reclamar_atendimento,geral_reclamar_atendimento,0.84062
geral_reclamar_atendimento,geral_reclamar_atendimento,0.77283
geral_reclamar_atendimento,geral_reclamar_atendimento,0.73523
geral_reclamar_atendimento,geral_reclamar_atendimento,0.89465
geral_reclamar_atendimento,geral_reclamar_atendimento,0.99053
geral_saudacao,geral_saudacao,0.92407
geral_saudacao,geral_saudacao,0.97687
geral_saudacao,geral_saudacao,0.91838
geral_saudacao,geral_saudacao,0.99094
geral_saudacao,geral_saudacao,0.94114
geral_saudacao,geral_saudacao,0.78882
geral_saudacao,geral_saudacao,0.80244
geral_saudacao,geral_saudacao,0.83972
geral_saudacao,geral_saudacao,0.93031
geral_saudacao,geral_saudacao,0.92513
pedir_recomendacao,pedir_recomendacao,0.93279
pedir_recomendacao,pedir_recomendacao,0.92733
pedir_recomendacao,pedir_recomendacao,0.88969
pedir_recomendacao,pedir_recomendacao,0.82137
pedir_recomendacao,pedir_recomendacao,0.94166
pedir_recomendacao,pedir_recomendacao,0.92958
pedir_recomendacao,pedir_recomendacao,0.87615
pedir_recomendacao,pedir_recomendacao,0.8807
pedir_recomendacao,pedir_recomendacao,0.42778
pedir_recomendacao,pedir_recomendacao,0.82445
rastrear_pedido,rastrear_pedido,0.5181
rastrear_pedido,rastrear_pedido,0.87739
rastrear_pedido,rastrear_pedido,0.78904
rastrear_pedido,rastrear_pedido,0.86801
rastrear_pedido,rastrear_pedido,0.93311
rastrear_pedido,rastrear_pedido,0.97914
rastrear_pedido,rastrear_pedido,0.99585
rastrear_pedido,rastrear_pedido,0.96197
rastrear_pedido,rastrear_pedido,0.91237
rastrear_pedido,rastrear_pedido,0.82879
reservar_mesa,reservar_mesa,0.93935
reservar_mesa,reservar_mesa,0.88055
reservar_mesa,reservar_mesa,0.38562
reservar_mesa,reservar_mesa,0.84717
reservar_mesa,reservar_mesa,0.9655
reservar_mesa,reservar_mesa,0.74657
reservar_mesa,reservar_mesa,0.81076
reservar_mesa,reservar_mesa,0.50697
reservar_mesa,reservar_mesa,0.95678
reservar_mesa,reservar_mesa,0.75111

